DATA,ARTIGO,MAQUINA,METRAGEM
2023-10-30,BALLI 16,817,998.4
2023-10-30,BELLES 15,801,1284.0
2023-10-30,MURITI 10,805,3534.0
2023-10-30,BALLI 16,815,998.4
2023-10-30,BELLES 15,814,1669.2
2023-10-30,BELLES 15,810,1926.0
2023-10-30,BELLES 15,812,1669.2
2023-10-30,MURITI 10,806,1710.0
2023-10-30,BELLES 24,824,984.0
2023-10-30,STILED 18,827,1182.9
2023-10-30,MURITI 10,813,912.0
2023-10-30,STILED 13,830,2001.0
2023-10-30,BELLES 15,811,1540.8
2023-10-30,BELLES 15,807,1626.4
2023-10-30,MURITI 10,906,2375.0
2023-10-30,MURITI 10,906,2413.0
2023-10-30,1653,904,2032.02
2023-10-30,1653,904,2054.598
2023-10-30,TIRA CANAL,832,1830.24
2023-11-01,COS 16,816,356.55
2023-11-01,TIRA CANAL,832,1982.76
2023-11-01,BELLES 15,807,1990.2
2023-11-01,STILED 13,819,1380.0
2023-11-01,STILED 18,827,709.74
2023-11-01,MURITI 14,838,2358.4
2023-11-01,MURITI 14,804,1072.0
2023-11-01,MARCEL 30,840,388.0
2023-11-01,MURITI 10,806,570.0
2023-11-01,STILED 18,825,946.32
2023-11-01,BELLES 15,814,642.0
2023-11-01,BELLES 15,812,385.2
2023-11-01,BELLES 15,810,1284.0
2023-11-01,STILED 13,820,1035.0
2023-11-01,STILED 18,821,1656.06
2023-11-01,BELLES 24,824,590.4
2023-11-01,MURITI 14,809,2653.2
2023-11-01,BELLES 15,801,898.8
2023-11-01,STILED 13,833,2208.0
2023-11-01,STILED 13,830,2024.0
2023-11-01,08 DE LYCRA,902,3344.4
2023-11-01,BELLES 15,802,898.8
2023-11-01,NEW CONF,908,1446.735
2023-11-01,MURITI 10,906,1577.0
2023-11-01,MURITI 10,906,1615.0
2023-11-01,MURITI 10,813,760.0
2023-11-01,MURITI 10,818,950.0
2023-11-03,06 DE LYCRA,901,4643.8
2023-11-03,MURITI 10,805,1938.0
2023-11-03,BELLES 15,814,642.0
2023-11-03,BELLES 15,811,2311.2
2023-11-03,MURITI 10,813,570.0
2023-11-03,BALLI 16,815,499.2
2023-11-03,TIRA CANAL,832,1220.16
2023-11-03,MARCEL 30,840,388.0
2023-11-03,STILED 18,825,946.32
2023-11-03,STILED 18,821,1040.952
2023-11-03,NEW CONF,908,605.61
2023-11-03,1653,904,1625.616
2023-11-03,1653,904,1693.35
2023-11-06,BELLES 15,808,3103.0
2023-11-06,MURITI 10,906,2508.0
2023-11-06,MURITI 10,906,2546.0
2023-11-06,MURITI 10,806,4104.0
2023-11-06,MURITI 10,813,1938.0
2023-11-06,MURITI 10,805,1938.0
2023-11-06,MURITI 10,818,1520.0
2023-11-06,BELLES 15,811,898.8
2023-11-06,BELLES 15,802,3210.0
2023-11-06,BELLES 15,808,1733.4
2023-11-06,BELLES 15,807,1433.8
2023-11-06,BELLES 15,808,3103.0
2023-11-06,BELLES 15,814,898.8
2023-11-06,BELLES 15,812,1926.0
2023-11-06,BELLES 15,810,1540.8
2023-11-06,COS 16,816,1925.37
2023-11-06,BELLES 24,824,1476.0
2023-11-06,BALLI 16,817,249.6
2023-11-06,MURITI 14,838,1822.4
2023-11-06,MURITI 14,809,1206.0
2023-11-06,MURITI 14,804,2680.0
2023-11-06,STILED 13,830,2668.0
2023-11-06,STILED 13,819,2139.0
2023-11-06,STILED 18,827,1182.9
2023-11-06,STILED 18,825,804.372
2023-11-06,MURITI 10,903,1615.0
2023-11-06,MURITI 10,903,1615.0
2023-11-06,06 DE LYCRA,902,4209.8
2023-11-06,NEW CONF,909,1453.464
2023-11-07,MARCEL 30,840,430.68
2023-11-07,TIRA CANAL,832,3317.31
2023-11-08,MURITI 10,805,2850.0
2023-11-08,BELLES 15,801,2568.0
